Архитектурные преимущества ускорят рост доли AMD в серверном сегменте,https://3dnews.ru/1024805/arhitekturnie-preimushchestva-uskoryat-rost-doli-amd-v-servernom-segmente
На ремонт «Морского старта» потребуется не менее миллиарда рублей,https://3dnews.ru/1024801/na-remont-morskogo-starta-potrebuetsya-ne-menee-milliarda-rubley
Бюджетный смартфон Nokia C1 Plus с поддержкой 4G готовится к выходу в России,https://3dnews.ru/1024800/byudgetniy-smartfon-nokia-c1-plus-s-poddergkoy-4g-gotovitsya-k-vihodu-v-rossii
"Новая статья: The Dark Pictures Anthology: Little Hope — маленький город, большие проблемы. Рецензия",https://3dnews.ru/1024639/the-dark-pictures-anthology-little-hope-review
650 сотрудникам SEGA предложено уволиться из-за убытков в этом году,https://3dnews.ru/1024832/650-sotrudnikam-sega-predlogeno-uvolitsya-izza-ubitkov-v-etom-godu
Продажи GTA V упали после анонса версии для консолей следующего поколения,https://3dnews.ru/1024831/prodagi-gta-v-upali-posle-anonsa-versii-dlya-konsoley-sleduyushchego-pokoleniya
BioWare официально анонсировала Mass Effect Legendary Edition и следующую Mass Effect,https://3dnews.ru/1024830/bioware-ofitsialno-anonsirovala-mass-effect-legendary-edition-i-sleduyushchuyu-mass-effect
Видео: экспедиции и презентация техноманта в новых роликах шутера Outriders,https://3dnews.ru/1024829/video-ekspeditsii-i-prezentatsiya-tehnomanta-v-novih-rolikah-shutera-outriders
Sony поделилась 12 минутами игрового процесса переиздания Demon’s Souls на PS5,https://3dnews.ru/1024826/sony-podelilas-12-minutami-igrovogo-protsessa-pereizdaniya-demons-souls-na-ps5
"Apex Legends, Star Wars: Squadrons и другие: как игры EA будут работать на запуске некстгена",https://3dnews.ru/1024827/apex-legends-star-wars-squadrons-i-drugie-kak-igri-ea-budut-rabotat-na-zapuske-nekstgena
"Новая статья: Gamesblender № 490: PS5 только в онлайн-магазинах, будущее Bethesda и космический гном Гейба Ньюэлла",https://3dnews.ru/1024817/gamesblender-490-ps5-tolko-v-onlaynmagazinah-budushchee-bethesda-i-kosmicheskiy-gnom-geyba-nyuella
Скорое обновление шутера Spacelords включит поддержку 4K/60p на новых консолях,https://3dnews.ru/1024814/skoroe-obnovlenie-shutera-spacelords-vklyuchit-poddergku-4k60p-na-novih-konsolyah
Видео: 2 часа игрового процесса Assassin’s Creed Valhalla на Xbox Series X,https://3dnews.ru/1024812/video-2-chasa-igrovogo-protsessa-assassins-creed-valhalla-na-xbox-series-x
Про трассировку лучей в Xuan-Yuan Sword VII сделали специальный трейлер,https://3dnews.ru/1024803/pro-trassirovku-luchey-v-xuanyuan-sword-vii-sdelali-spetsialniy-treyler
"AMD выпустила драйвер Radeon 20.11.1 для DiRT 5, AC Valhalla, Godfall и новой CoD",https://3dnews.ru/1024806/amd-vipustila-drayver-radeon-20111-dlya-dirt-5-ac-valhalla-godfall-i-novoy-cod
В Москве появится единое приложение для всех видов транспорта — в нём можно будет оплачивать проезд,https://3dnews.ru/1024795/v-moskve-poyavitsya-edinoe-prilogenie-dlya-vseh-vidov-transporta-v-nyom-mogno-budet-oplachivat-proezd
В Immortals Fenyx Rising нельзя будет просто взять и пойти к финальному боссу,https://3dnews.ru/1024793/v-immortals-fenyx-rising-nelzya-budet-prosto-vzyat-i-poyti-k-finalnomu-bossu
Вышло крупное обновление Ori and the Will of the Wisps с оптимизациями для Xbox Series S и X,https://3dnews.ru/1024807/vishlo-krupnoe-obnovlenie-ori-and-the-will-of-the-wisps-s-optimizatsiyami-dlya-xbox-series-s-i-x
Новая статья: DiRT 5 — великолепная «пятёрка». Рецензия,https://3dnews.ru/1024635/dirt-5-review
Пользователи Windows 10 столкнулись со сбоями в работе панели Xbox Game Bar,https://3dnews.ru/1024794/polzovateli-windows-10-stolknulis-so-sboyami-v-rabote-paneli-xbox-game-bar
